objectid,tree_species,global_id,creation_date,edit_date,tree_condition,sun_exposure,is_it_within_18_meters_of_a_building,trunk_circumference_cm,co2_uptake_annual,carbon_sequestered_annual_kg,co2_equivalent_annual_kg,storm_water_mitigation_annual,runoff_avoided_annual_l,rainfall_intercepted_annual_l,air_pollution_removal_annual,carbon_monoxide_removed_annual_g,ozone_removed_annual_g,nitrogen_dioxide_removed_annual_g,sulfur_dioxide_removed_annual_g,pm2_5_removed_annual_g,carbon_dioxide_uptake_to_date,carbon_storage_to_date_kg,co2_equivalent_to_date_kg,how_old_is_the_building,how_far_is_it_from_the_building,direction_from_tree_to_building,energy_usage_per_year,electricity_savings_per_year_k_wh,heating_fuel_savings_per_year_mm_btu,avoided_energy_emissions_per_year,avoided_co2_emissions_per_year_kg,avoided_co_emissions_per_year_g,avoided_no2_emissions_per_year_g,avoided_so2_emissions_per_year_g,avoided_pm2_5_emissions_per_year_g,y_coord_lat,x_coord_long,lab_group,x,y
104,Katsura,cff9d1b0-84a4-40e5-8bc5-c8caf7bb47d9,4/10/2025 12:47:06 PM,4/10/2025 1:18:59 PM,Good,Partial,Yes,267,2.66,5.59,20.48,0.64,270.2,11129.48,0.18,2.75,600.69,13.27,16.81,27.34,805.25,1688.15,6189087,Built before 1950,0-6 meters,Southeast (135 deg),24.06,81.4,1.09,17.76,136.54,42.73,26.49,692.66,10.24,40.955264,76.881988,8am lab - group 05,-76.8819877068387,40.9552640156239
105,Black Maple,6607edf3-b0cf-485e-a8b6-5bf0810c5a41,4/10/2025 12:47:09 PM,4/10/2025 1:15:58 PM,Excellent,Full,Yes,17.78,0.94,1.97,7.21,0.02,7.7,317.28,0,0.09,12.4,0.25,0.36,0.36,2.62,5.49,20.12,NA,12-18 meters,Southwest (225%),3.06,4.35,0.21,2.61,20.03,4.96,3.89,101.62,0.63,NA,NA,8am lab - group 01,-76.8824798003581,40.9547361999427
106,Black Maple,632566d9-eef3-4722-ab42-49f8944167ff,4/10/2025 12:47:53 PM,4/10/2025 1:34:58 PM,Fair,Full,Yes,162,11.86,24.87,91.2,0.16,66.38,2734.3,0,0.78,222.68,5.43,6.03,15.62,399.03,836.55,3067.35,Built before 1950,12-18 meters,Southeast (135 deg),22.1,14.16,1.71,19.81,152.26,34.41,29.54,772.4,2.65,NA,NA,8am lab - group 05,-76.882178443428,40.9552338222188
107,Katsura,ff9406a3-909d-45e3-aa69-aac32a04f6bb,4/10/2025 12:48:25 PM,4/10/2025 1:30:17 PM,Good,Partial,Yes,270,2.42,5.07,18.59,0.64,273,11245.14,0.18,2.78,604.07,13.32,16.91,27.28,827.5,1734.79,6370.9,Built before 1950,0-6 meters,Southeast (135 deg),24.06,81.4,1.09,17.76,136.54,42.73,26.49,692.66,10.24,40.955396,76.881988,8am lab - group 05,-76.8819878882984,40.9553961418834
110,Black Maple,a23027cb-a67f-4d05-87a7-f8a17c6878f1,4/10/2025 2:20:54 PM,4/10/2025 2:20:54 PM,Good,Shade,No,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not within 60 feet of a building,12-18 meters,South (180 deg),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sample Data,-76.881961463456,40.9553618732333
111,White Oak,9f8adbda-6137-4f21-8593-ac8d3dd1d535,4/10/2025 2:28:28 PM,4/10/2025 3:04:54 PM,Excellent,Full,Yes,297,24.46,51.28,188.03,5.47,2315.66,18710.85,5.16,4.58,806.18,16.47,26.44,25.8,1613.12,3381.81,12399.96,Built before 1950,6-12 meters,Southwest (225%),21.74,12.91,1.69,19.7,150.19,33.76,29.14,761.89,2.46,NA,NA,10am lab - group 07,-76.881443699679,40.9563326605952
112,Basswood,a7f1d4b2-8a9c-49a9-bd74-7e31a986103b,4/10/2025 2:28:32 PM,4/10/2025 3:03:25 PM,Good,Full,No,162.5,8.11,16.99,62.31,1.62,686.22,5544.73,3.36,1.36,351.15,8.29,10.88,20.89,216.98,454.88,1667.89,Not within 60 feet of a building,19 meters or more,NA tree is not within 60 feet of a building,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.955953,76.881433,10am lab - group 06,-76.881432667469,40.9559527173033
113,Other,f8a92b00-b817-40f2-9d5d-ed9d932e9c18,4/10/2025 2:29:58 PM,4/10/2025 3:08:11 PM,Fair,Partial,Yes,165.1,11.65,24.43,89.57,1.54,652.77,5274.51,3.1,1.57,366.06,8.3,11.52,18.33,21.39,8.55,1.71,Not within 60 feet of a building,12-18 meters,Southwest (225%),19.62,149.62,32.89,29.03,759.02,1.96,500.35,1048.96,3846.17,NA,NA,10am lab - group 03,-76.8814569776772,40.9563295222422
115,Basswood,885dba6d-29bd-4bd9-9a07-3130443b5fa3,4/10/2025 2:30:17 PM,4/10/2025 3:04:56 PM,Good,Partial,Yes,76.2,1.94,4.06,14.89,0.56,237.79,1921.36,1.02,0.49,117.5,2.68,3.69,6.08,45.47,95.33,349.56,Built before 1950,6-12 meters,Northwest (315 deg),2.81,11.88,0.1,1.94,14.88,5.18,2.89,75.51,1.46,76.88,40.96,10am lab - group 01,-76.8814866669974,40.9560649997923
116,White Oak,45c3e7ff-27fe-425d-9115-961cc61a642b,4/10/2025 2:30:18 PM,4/10/2025 3:01:55 PM,Good,Partial,Yes,323.5,14.93,31.3,114.78,6.28,2660.84,21499.95,4.35,5.54,804.6,15.29,27.15,18.9,2718.93,5700.05,20900.2,Built before 1950,6-12 meters,West (270 deg),15.38,61.68,0.58,10.94,83.05,28.09,16.11,421.33,7.63,40.95623,-76.88143,10am lab - group 02,-76.8815131960444,40.956200796044
